NO	LRR	LRR_var	group
385	-0.169234762	0.010059714	BPs
386	-0.40846304	0.005926219	BPs
387	-0.386191564	0.0040939	BPs
388	-1.791759469	0.231481481	NBPs
389	-1.568615918	0.244814815	NBPs
390	-1.791759469	0.231481481	NBPs
391	-0.064349682	0.001086403	NBPs
392	0.002968829	0.004469228	NBPs
393	0.001124368	0.000151249	NBPs
394	-0.106055201	0.000179193	NBPs
395	0.022067218	0.000117164	NBPs
396	-0.066807761	0.000210919	NBPs
397	-0.04905895	0.000165841	NBPs
398	-0.066807761	0.000185685	NBPs
399	-0.078772681	0.000123706	BPs
400	-0.065605757	9.92E-05	BPs
401	-0.048271549	0.00016172	BPs
402	-0.065605757	9.92E-05	BPs
403	-0.057298129	0.000127842	BPs
404	0.003369317	0.000154476	BPs
405	-0.064538521	0.000277072	BPs
406	-0.061035891	0.000344517	BPs
407	-0.082238098	0.001549291	NBPs
408	0.155090088	0.000461429	NBPs
409	-0.093010195	0.000123035	NBPs
410	-0.096626836	0.000543903	NBPs
411	0.077650934	0.002144181	BPs
412	-0.143339764	0.002116366	BPs
413	-0.077458059	0.002069368	NBPs
414	0.170869063	0.002194338	NBPs
415	-0.044451763	0.004964418	NBPs
416	0.100379185	0.002051393	NBPs
417	-0.025513601	0.008202007	NBPs
418	-0.075645743	0.003026465	NBPs
419	0.052280904	0.002595156	NBPs
420	0.024994066	0.004446263	NBPs
421	-0.041519477	0.003878849	NBPs
422	-0.073831016	0.002859391	NBPs
423	-0.08253469	0.001266506	NBPs
424	-0.150591393	0.004280089	NBPs
425	-0.084607229	0.003974076	NBPs
426	-0.08714618	0.002706727	NBPs
427	-0.08253469	0.001266506	NBPs
428	-0.078631574	0.004743678	NBPs
429	-0.069507423	0.004270519	NBPs
430	-0.089691594	0.004113451	NBPs
431	-0.145188629	0.002844667	NBPs
432	-0.213604361	0.001773618	NBPs
433	-0.245852325	0.005852014	NBPs
434	-0.139814899	0.00333806	NBPs
435	-0.145188629	0.002844667	NBPs
436	-0.078402452	0.006595711	NBPs
437	-0.091215968	0.000482189	NBPs
438	-0.229573983	0.000441159	NBPs
439	-0.063512785	0.000378423	NBPs
440	-0.223142663	0.000342435	NBPs
441	-0.068992618	0.000380178	BPs
442	-0.210404256	0.000552991	BPs
443	-0.047252426	0.000460027	BPs
444	-0.210404256	0.000873441	BPs
445	0.064538784	0.00077212	NBPs
446	-0.030772315	0.000925475	NBPs
447	0.098061144	0.000851531	NBPs
448	-0.012194681	0.001402849	NBPs
449	0.087011843	0.000857129	BPs
450	-0.018348957	0.001222306	BPs
451	0.10898969	0.001082377	BPs
452	-0.006079456	0.001046095	BPs
453	0.063178287	0.001185421	NBPs
454	-0.083066941	0.001642778	NBPs
455	0.090025797	0.000995604	NBPs
456	-0.059719801	0.001340153	NBPs
457	0.116171324	0.001129577	BPs
458	-0.052056413	0.001329353	BPs
459	0.141650643	0.00127618	BPs
460	-0.021978684	0.001087331	BPs
461	-0.125416567	0.012687582	NBPs
462	0.104600446	0.013561177	NBPs
463	0.232980842	0.011736404	NBPs
464	-0.142147675	0.000815611	BPs
465	-0.176127828	0.001023114	NBPs
466	-0.14692864	0.003507757	BPs
467	-0.144537549	0.001296854	NBPs
468	-0.271932499	0.000909039	BPs
469	-0.242479596	0.002088841	NBPs
470	-0.446673979	0.001101485	BPs
471	-0.440221326	0.001561819	NBPs
472	-0.459705553	0.00074864	BPs
473	-0.577897804	0.001064835	NBPs
474	-0.200670914	0.169882442	NBPs
475	-0.200670914	0.093064047	NBPs
476	-0.095309197	0.068770048	NBPs
477	-0.062519723	0.143058131	NBPs
478	0.167054236	0.124516877	NBPs
479	0.287682564	0.091828505	NBPs
480	0.287682564	0.084094664	NBPs
481	0.287682564	0.067034824	NBPs
482	0.353641252	0.189598799	NBPs
483	0.207638771	0.0463347	NBPs
484	0.143099735	0.047341317	NBPs
485	-0.124676576	0.091464417	NBPs
486	-0.108214399	0.062932316	NBPs
487	0.014544142	0.067443333	NBPs
488	-0.193371266	0.062067673	NBPs
489	0.028882088	0.073259613	NBPs
490	0.136729939	0.042730889	NBPs
491	0.133530799	0.055281336	NBPs
492	0.179853142	0.004930758	NBPs
493	0.353219951	0.005298011	NBPs
494	0.175730745	0.004937403	NBPs
495	0.199268912	0.004947894	NBPs
496	0.32912023	0.003522588	NBPs
497	0.19083274	0.00433117	NBPs
498	-0.453993982	0.000530771	NBPs
499	-0.254324166	0.003484548	NBPs
500	-0.111226595	0.000269302	NBPs
501	-0.147155787	0.000428262	NBPs
502	-0.442999105	0.000449061	NBPs
