OTU	log2FC	p_value	group	Origin
cysE	2.256565903	0.432627679	WP-SP	S_cycle
cysH	-1.456262146	0.287752219	WP-SP	S_cycle
cysI	3.27660449	0.0403432	WP-SP	S_cycle
cysJ	0.091950901	0.874630776	WP-SP	S_cycle
cysK	2.426243753	0.242654516	WP-SP	S_cycle
cysN	16.49116849	0.147168591	WP-SP	S_cycle
cysQ	0.127618538	0.940778637	WP-SP	S_cycle
dddC	12.94763663	0.086060081	WP-SP	S_cycle
dmsA	-17.20530915	0.063855973	WP-SP	S_cycle
dmsC	-18.88489845	0.320613798	WP-SP	S_cycle
dsrA	18.00482153	0.032893601	WP-SP	S_cycle
isfD	-17.18660835	0.320613798	WP-SP	S_cycle
mdh	3.888291488	0.099476672	WP-SP	S_cycle
metB	-19.53051094	0.297388011	WP-SP	S_cycle
metC	0.142104124	0.93699893	WP-SP	S_cycle
prpE	-20.45418183	0.042517201	WP-SP	S_cycle
pta	17.48101634	0.101327465	WP-SP	S_cycle
soxX	-1.990188457	0.054611634	WP-SP	S_cycle
sqdB	-5.250423401	0.017164408	WP-SP	S_cycle
ssuB	1.121286581	0.30952116	WP-SP	S_cycle
ssuC	-3.512409188	0.031383042	WP-SP	S_cycle
sulP	16.36105184	0.292371201	WP-SP	S_cycle
tauB	-4.124584843	0.106422509	WP-SP	S_cycle
